ProductID,ProductName,Category,StoreID,Date,UnitsSold,UnitsInStock,UnitCost,UnitPrice,Season,Revenue,Cost,Profit,InventoryValue,InventoryTurnoverRate,StockoutFlag,ExcessInventoryValue
P1000,Board Game,Action Toys,Store_5,2/19/2022,102,176,31.94,43.3,Winter Sale,4416.6,3257.88,1158.72,5621.44,0.576271186,0,0
P1001,Board Game,Puzzles,Store_4,2/17/2024,435,281,22.85,12.47,Winter Sale,5424.45,9939.75,-4515.3,6420.85,1.542553191,0,0
P1002,Board Game,Action Toys,Store_8,5/5/2024,348,62,15.67,45.37,Off Season,15788.76,5453.16,10335.6,971.54,5.523809524,0,0
P1003,Remote Car,Games,Store_9,12/23/2022,270,216,15.56,57.32,Summer Break,15476.4,4201.2,11275.2,3360.96,1.244239631,0,0
P1004,Lego Set,Dolls,Store_1,4/4/2022,106,460,44.77,56.05,Off Season,5941.3,4745.62,1195.68,20594.2,0.229934924,0,20594.2
P1005,Soft Toy,Games,Store_10,6/26/2023,71,104,24.89,24.91,Off Season,1768.61,1767.19,1.42,2588.56,0.676190476,0,0
P1006,Puzzle,Games,Store_6,11/2/2023,188,98,19.89,68.12,Diwali,12806.56,3739.32,9067.24,1949.22,1.898989899,0,0
P1007,Board Game,Dolls,Store_8,3/20/2023,20,510,25.19,14.03,Winter Sale,280.6,503.8,-223.2,12846.9,0.039138943,0,12846.9
P1008,Doll,Games,Store_4,7/22/2023,102,384,35.12,78.57,Christmas,8014.14,3582.24,4431.9,13486.08,0.264935065,0,0
P1009,Board Game,Dolls,Store_9,8/26/2023,121,404,11.56,95.2,Diwali,11519.2,1398.76,10120.44,4670.24,0.298765432,0,4670.24
P1010,Remote Car,Puzzles,Store_7,3/15/2023,466,517,25.22,40.58,Winter Sale,18910.28,11752.52,7157.76,13038.74,0.8996139,0,13038.74
P1011,Board Game,Puzzles,Store_9,6/18/2024,214,475,31.45,56.55,Christmas,12101.7,6730.3,5371.4,14938.75,0.449579832,0,14938.75
P1012,Doll,Games,Store_3,6/16/2022,330,436,47.69,44.1,Winter Sale,14553,15737.7,-1184.7,20792.84,0.755148741,0,20792.84
P1013,Puzzle,Puzzles,Store_1,2/22/2022,458,22,16.36,10.6,Summer Break,4854.8,7492.88,-2638.08,359.92,19.91304348,0,0
P1014,Lego Set,Games,Store_7,2/23/2024,87,564,21.17,44.73,Diwali,3891.51,1841.79,2049.72,11939.88,0.153982301,0,11939.88
P1015,Remote Car,Dolls,Store_10,7/27/2022,372,457,22.07,81.25,Christmas,30225,8210.04,22014.96,10085.99,0.812227074,0,10085.99
P1016,Remote Car,Dolls,Store_9,6/27/2024,99,82,32.25,63.64,Off Season,6300.36,3192.75,3107.61,2644.5,1.192771084,0,0
P1017,Lego Set,Action Toys,Store_8,7/6/2023,359,144,21.05,19.11,Christmas,6860.49,7556.95,-696.46,3031.2,2.475862069,0,0
P1018,Doll,Games,Store_9,8/3/2024,151,84,29.01,86.24,Christmas,13022.24,4380.51,8641.73,2436.84,1.776470588,0,0
P1019,Card Game,Games,Store_9,10/27/2023,130,77,40.18,57.8,Off Season,7514,5223.4,2290.6,3093.86,1.666666667,0,0
P1020,Board Game,Games,Store_1,4/23/2023,149,456,36.74,85.76,Off Season,12778.24,5474.26,7303.98,16753.44,0.326039387,0,16753.44
P1021,Board Game,Puzzles,Store_6,12/5/2022,308,0,25.09,62.22,Christmas,19163.76,7727.72,11436.04,0,308,1,0
P1022,Doll,Puzzles,Store_3,5/13/2024,257,50,43.89,60.37,Christmas,15515.09,11279.73,4235.36,2194.5,5.039215686,0,0
P1023,Lego Set,Puzzles,Store_4,6/9/2022,343,445,30.12,19.47,Winter Sale,6678.21,10331.16,-3652.95,13403.4,0.769058296,0,13403.4
P1024,Card Game,Dolls,Store_10,5/14/2023,491,448,29.3,25.06,Summer Break,12304.46,14386.3,-2081.84,13126.4,1.093541203,0,13126.4
P1025,Action Figure,Dolls,Store_9,9/27/2022,413,487,6.54,97.48,Off Season,40259.24,2701.02,37558.22,3184.98,0.846311475,0,3184.98
P1026,Action Figure,Action Toys,Store_8,5/2/2024,293,33,49.4,30.56,Diwali,8954.08,14474.2,-5520.12,1630.2,8.617647059,0,0
P1027,Puzzle,Puzzles,Store_2,5/14/2024,385,347,10.53,97.97,Diwali,37718.45,4054.05,33664.4,3653.91,1.106321839,0,0
P1028,Doll,Action Toys,Store_3,7/1/2024,191,94,15.4,57.87,Diwali,11053.17,2941.4,8111.77,1447.6,2.010526316,0,0
P1029,Lego Set,Dolls,Store_6,2/10/2023,443,71,7.33,22.22,Off Season,9843.46,3247.19,6596.27,520.43,6.152777778,0,0
P1030,Puzzle,Puzzles,Store_10,3/14/2023,276,550,33.8,18.94,Winter Sale,5227.44,9328.8,-4101.36,18590,0.500907441,0,18590
P1031,Board Game,Games,Store_6,4/11/2022,160,153,15.11,28.8,Christmas,4608,2417.6,2190.4,2311.83,1.038961039,0,0
P1032,Action Figure,Puzzles,Store_2,8/15/2022,459,249,13.1,93.31,Diwali,42829.29,6012.9,36816.39,3261.9,1.836,0,0
P1033,Remote Car,Puzzles,Store_7,2/4/2022,313,437,8.99,47.27,Diwali,14795.51,2813.87,11981.64,3928.63,0.714611872,0,3928.63
P1034,Puzzle,Games,Store_8,2/28/2022,21,117,9.65,45.59,Christmas,957.39,202.65,754.74,1129.05,0.177966102,0,0
P1035,Remote Car,Dolls,Store_3,8/2/2023,252,305,31.31,38.19,Christmas,9623.88,7890.12,1733.76,9549.55,0.823529412,0,0
P1036,Puzzle,Games,Store_9,8/22/2024,235,267,35.97,23.24,Summer Break,5461.4,8452.95,-2991.55,9603.99,0.876865672,0,0
P1037,Board Game,Games,Store_9,4/7/2023,344,53,22.88,53.91,Christmas,18545.04,7870.72,10674.32,1212.64,6.37037037,0,0
P1038,Remote Car,Action Toys,Store_9,12/29/2023,48,235,26.6,21.7,Winter Sale,1041.6,1276.8,-235.2,6251,0.203389831,0,0
P1039,Card Game,Games,Store_10,7/1/2023,474,388,35.87,85.19,Christmas,40380.06,17002.38,23377.68,13917.56,1.218508997,0,0
P1040,Action Figure,Action Toys,Store_5,3/19/2023,58,400,5.78,43.34,Winter Sale,2513.72,335.24,2178.48,2312,0.144638404,0,0
P1041,Board Game,Puzzles,Store_3,2/22/2022,169,302,19.54,43.73,Summer Break,7390.37,3302.26,4088.11,5901.08,0.557755776,0,0
P1042,Action Figure,Games,Store_7,6/19/2022,475,206,48.79,52.66,Off Season,25013.5,23175.25,1838.25,10050.74,2.29468599,0,0
P1043,Remote Car,Puzzles,Store_3,4/19/2023,187,228,31.11,49.97,Summer Break,9344.39,5817.57,3526.82,7093.08,0.816593886,0,0
P1044,Puzzle,Puzzles,Store_6,5/13/2023,463,577,16.44,99.54,Christmas,46087.02,7611.72,38475.3,9485.88,0.801038062,0,9485.88
P1045,Board Game,Games,Store_2,4/28/2024,270,74,28.48,59.08,Christmas,15951.6,7689.6,8262,2107.52,3.6,0,0
P1046,Doll,Action Toys,Store_9,6/27/2023,189,434,20.42,17.94,Off Season,3390.66,3859.38,-468.72,8862.28,0.434482759,0,8862.28
P1047,Remote Car,Puzzles,Store_1,9/5/2022,445,102,28.95,64.62,Summer Break,28755.9,12882.75,15873.15,2952.9,4.32038835,0,0
P1048,Card Game,Games,Store_8,5/7/2022,174,421,10.66,23.64,Diwali,4113.36,1854.84,2258.52,4487.86,0.412322275,0,4487.86
P1049,Remote Car,Dolls,Store_5,3/24/2024,445,305,10.97,12.78,Diwali,5687.1,4881.65,805.45,3345.85,1.454248366,0,0
P1050,Board Game,Puzzles,Store_4,5/24/2022,50,97,11.46,97.37,Diwali,4868.5,573,4295.5,1111.62,0.510204082,0,0
P1051,Doll,Puzzles,Store_5,1/16/2023,363,334,47.29,79.62,Christmas,28902.06,17166.27,11735.79,15794.86,1.08358209,0,0
P1052,Action Figure,Dolls,Store_9,3/4/2024,54,434,37.98,98.21,Diwali,5303.34,2050.92,3252.42,16483.32,0.124137931,0,16483.32
P1053,Lego Set,Dolls,Store_8,2/25/2024,243,446,12.31,53.01,Winter Sale,12881.43,2991.33,9890.1,5490.26,0.543624161,0,5490.26
P1054,Doll,Games,Store_7,6/8/2023,319,307,13.48,57.9,Christmas,18470.1,4300.12,14169.98,4138.36,1.035714286,0,0
P1055,Board Game,Action Toys,Store_7,10/8/2022,130,248,37.89,25.15,Summer Break,3269.5,4925.7,-1656.2,9396.72,0.522088353,0,0
P1056,Remote Car,Action Toys,Store_2,4/21/2023,484,165,12.03,32.22,Christmas,15594.48,5822.52,9771.96,1984.95,2.915662651,0,0
P1057,Board Game,Dolls,Store_2,1/7/2023,306,480,15.56,85.47,Christmas,26153.82,4761.36,21392.46,7468.8,0.636174636,0,7468.8
P1058,Doll,Games,Store_8,3/20/2024,134,334,48.35,42.06,Off Season,5636.04,6478.9,-842.86,16148.9,0.4,0,0
P1059,Soft Toy,Puzzles,Store_3,2/2/2024,20,541,16.49,84.41,Winter Sale,1688.2,329.8,1358.4,8921.09,0.036900369,0,8921.09
P1060,Remote Car,Games,Store_10,4/24/2024,328,105,34.77,73.81,Christmas,24209.68,11404.56,12805.12,3650.85,3.094339623,0,0
P1061,Card Game,Games,Store_10,7/11/2022,166,562,49.04,25.95,Diwali,4307.7,8140.64,-3832.94,27560.48,0.294849023,0,27560.48
P1062,Lego Set,Action Toys,Store_8,4/13/2023,273,80,21.84,55.67,Diwali,15197.91,5962.32,9235.59,1747.2,3.37037037,0,0
P1063,Doll,Dolls,Store_9,1/28/2023,387,132,5.79,70.96,Off Season,27461.52,2240.73,25220.79,764.28,2.909774436,0,0
P1064,Card Game,Action Toys,Store_5,11/2/2022,88,137,15.99,31.15,Winter Sale,2741.2,1407.12,1334.08,2190.63,0.637681159,0,0
P1065,Board Game,Puzzles,Store_6,11/20/2022,315,183,42.39,84.76,Off Season,26699.4,13352.85,13346.55,7757.37,1.711956522,0,0
P1066,Soft Toy,Puzzles,Store_6,2/14/2024,13,400,43.91,59.03,Summer Break,767.39,570.83,196.56,17564,0.032418953,0,0
P1067,Board Game,Dolls,Store_4,2/16/2023,241,329,39.58,24.87,Christmas,5993.67,9538.78,-3545.11,13021.82,0.73030303,0,0
P1068,Action Figure,Puzzles,Store_7,6/8/2023,264,507,10.09,62.47,Summer Break,16492.08,2663.76,13828.32,5115.63,0.519685039,0,5115.63
P1069,Board Game,Puzzles,Store_8,1/16/2023,345,68,40.8,99.97,Summer Break,34489.65,14076,20413.65,2774.4,5,0,0
P1070,Board Game,Action Toys,Store_5,5/28/2022,52,545,46.34,23.55,Christmas,1224.6,2409.68,-1185.08,25255.3,0.095238095,0,25255.3
P1071,Board Game,Puzzles,Store_1,5/24/2022,385,52,32.03,83.51,Christmas,32151.35,12331.55,19819.8,1665.56,7.264150943,0,0
